
# Efinity Pinout Report
# Version: 2025.1.110.5.9
# Date: 2026-09-14 22:36

# Copyright (C) 2013 - 2025 Efinix Inc. All rights reserved.

# Device: Ti60F225
# Package status: final
# Project: Hello_LED
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,GPIOL_N_18,,,1B,1.8 V,,,User IO/PLL_CLKIN
A3,GPIOL_03,,Input,TL,3.3 V,,weak pullup,User IO
A4,GPIOL_09,,Input,TL,3.3 V,,weak pullup,User IO
A5,GPIOT_P_03,,,2A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
A6,GPIOT_N_03,,,2A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
A7,GPIOT_N_06,,,2A,1.8 V,,,User IO
A8,GPIOT_N_07_CLK4_N,,,2A,1.8 V,,,User IO/GCLK/RCLK
A9,GPIOT_N_11,,,2B,1.8 V,,,User IO
A10,GPIOT_P_14,,,2B,1.8 V,,,User IO/MIPI_GCLK
A11,GPIOT_P_17_PLLIN1,,,2B,1.8 V,,,User IO/PLL_CLKIN
A12,GPIOR_13,,Input,TR,3.3 V,,weak pullup,User IO
A13,GPIOR_12,,Input,TR,3.3 V,,weak pullup,User IO
A14,GPIOR_19,,Input,TR,3.3 V,,weak pullup,User IO
A15,GND,,Power,,,,,Ground
B1,GPIOL_P_17_EXTFB,,,1B,1.8 V,,,User IO/PLL_EXTFB
B2,GPIOL_P_18_PLLIN0,,,1B,1.8 V,,,User IO/PLL_CLKIN
B3,GPIOL_04,,Input,TL,3.3 V,,weak pullup,User IO
B4,VCCIO33_TL,,Power,TL,3.3 V,,,VCCIO Power
B5,GPIOL_10,,Input,TL,3.3 V,,weak pullup,User IO
B6,GPIOT_P_01,,,2A,1.8 V,,,User IO
B7,GPIOT_P_06,,,2A,1.8 V,,,User IO
B8,GPIOT_P_07_CLK4_P,,,2A,1.8 V,,,User IO/GCLK/RCLK
B9,GPIOT_P_11,,,2B,1.8 V,,,User IO
B10,GPIOT_N_14,,,2B,1.8 V,,,User IO/MIPI_GCLK
B11,GPIOT_N_17,,,2B,1.8 V,,,User IO/PLL_CLKIN
B12,GPIOR_15,,Input,TR,3.3 V,,weak pullup,User IO
B13,VCCIO33_TR,,Power,TR,3.3 V,,,VCCIO Power
B14,GPIOR_18,,Input,TR,3.3 V,,weak pullup,User IO
B15,REF_RES_3A,,Input,3A,1.8 V,,,
C1,GPIOL_N_16,,,1B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
C2,GPIOL_N_17,,,1B,1.8 V,,,User IO/PLL_EXTFB
C3,GPIOL_06,,Input,TL,3.3 V,,weak pullup,User IO
C4,GPIOL_07,,Input,TL,3.3 V,,weak pullup,User IO
C5,GPIOL_11_PLLIN2,,Input,TL,3.3 V,,weak pullup,User IO/PLL_CLKIN
C6,GPIOT_N_01,,,2A,1.8 V,,,User IO
C7,VCCIO2A,,Power,2A,1.8 V,,,VCCIO Power
C8,GPIOT_P_10_CLK7_P,,,2B,1.8 V,,,User IO/GCLK/RCLK
C9,GPIOT_N_10_CLK7_N,,,2B,1.8 V,,,User IO/GCLK/RCLK
C10,GPIOT_P_13,,,2B,1.8 V,,,User IO/VREF
C11,VCCIO2B,,Power,2B,1.8 V,,,VCCIO Power
C12,GPIOR_16,,Input,TR,3.3 V,,weak pullup,User IO
C13,GPIOR_P_17,,,3A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
C14,GPIOR_P_19_PLLIN0,,,3A,1.8 V,,,User IO/PLL_CLKIN
C15,GPIOR_N_19,,,3A,1.8 V,,,User IO/PLL_CLKIN
D1,GPIOL_P_16,,,1B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
D2,VCCIO1B,,Power,1B,1.8 V,,,VCCIO Power
D3,GND,,Power,,,,,Ground
D4,VCCAUX,,Power,4B,1.8 V,,,
D5,GPIOT_N_00,,,2A,1.8 V,,,User IO/PLL_CLKIN
D6,VCCIO2A,,Power,2A,1.8 V,,,VCCIO Power
D7,GPIOT_N_05,,,2A,1.8 V,,,User IO
D8,GPIOT_N_09_CLK6_N,,,2B,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK
D9,VCCIO2B,,Power,2B,1.8 V,,,VCCIO Power
D10,GPIOT_N_13,,,2B,1.8 V,,,User IO
D11,REF_RES_2B,,Input,2B,1.8 V,,,
D12,GPIOR_20,,Input,TR,3.3 V,,weak pullup,User IO
D13,GPIOR_N_17,,,3A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
D14,GPIOR_N_18,,,3A,1.8 V,,,User IO
D15,GPIOR_P_18,,,3A,1.8 V,,,User IO
E1,GPIOL_P_15_NSTATUS,,,1B,1.8 V,,,User IO/VREF/Configuration
E2,GPIOL_N_15_TEST_N,,,1B,1.8 V,,,User IO/Configuration
E3,GPIOL_N_13_CBSEL1,,,1B,1.8 V,,,User IO
E4,REF_RES_1B,,Input,1B,1.8 V,,,
E5,VCCA_TL,,Power,,,,,0.95 V PLL Power
E6,GPIOT_P_00_PLLIN1,,,2A,1.8 V,,,User IO/PLL_CLKIN/VREF
E7,GPIOT_P_05,,,2A,1.8 V,,,User IO
E8,GPIOT_P_09_CLK6_P,,,2B,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK
E9,GPIOT_N_12,,,2B,1.8 V,,,User IO
E10,GPIOT_P_16_EXTFB,,,2B,1.8 V,,,User IO/PLL_EXTFB
E11,VCCAUX,,Power,4B,1.8 V,,,
E12,GPIOR_N_15,,,3A,1.8 V,,,User IO
E13,VCC,,Power,,,,,0.95 V VCC Power
E14,GPIOR_N_16,,,3A,1.8 V,,,User IO
E15,GPIOR_P_16,,,3A,1.8 V,,,User IO
F1,GPIOL_P_14,,,1B,1.8 V,,,User IO
F2,GPIOL_N_14,,,1B,1.8 V,,,User IO
F3,GPIOL_P_13_CBSEL0,,,1B,1.8 V,,,User IO
F4,VCCIO1B,,Power,1B,1.8 V,,,VCCIO Power
F5,GPIOL_N_11,,,1B,1.8 V,,,User IO
F6,REF_RES_2A,,Input,2A,1.8 V,,,
F7,GPIOT_P_04,,,2A,1.8 V,,,User IO
F8,GPIOT_N_04,,,2A,1.8 V,,,User IO
F9,GPIOT_P_12,,,2B,1.8 V,,,User IO
F10,GPIOT_N_16,,,2B,1.8 V,,,User IO/PLL_EXTFB
F11,GPIOR_N_14,,,3A,1.8 V,,,User IO
F12,GPIOR_P_15,,,3A,1.8 V,,,User IO
F13,GPIOR_N_12,,,3A,1.8 V,,,User IO
F14,VCCIO3A,,Power,3A,1.8 V,,,VCCIO Power
F15,GPIOR_N_13,,,3A,1.8 V,,,User IO
G1,GPIOL_N_09_CLK2_N,,,1B,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK
G2,GPIOL_N_10_CLK3_N,,,1B,1.8 V,,,User IO/GCLK/RCLK
G3,GPIOL_P_12,,,1B,1.8 V,,,User IO
G4,GPIOL_N_12,,,1B,1.8 V,,,User IO
G5,GPIOL_P_11,,,1B,1.8 V,,,User IO
G6,VQPS_GND,,Power,,,,,
G7,VCC,,Power,,,,,0.95 V VCC Power
G8,GND,,Power,,,,,Ground
G9,VCC,,Power,,,,,0.95 V VCC Power
G10,VCCA_TR,,Power,,,,,0.95 V PLL Power
G11,GPIOR_P_14,,,3A,1.8 V,,,User IO
G12,VCCIO3A,,Power,3A,1.8 V,,,VCCIO Power
G13,GPIOR_P_12,,,3A,1.8 V,,,User IO
G14,GPIOR_N_11_CLK8_N,,,3A,1.8 V,,,User IO/GCLK/RCLK
G15,GPIOR_P_13,,,3A,1.8 V,,,User IO/VREF
H1,GPIOL_P_09_CLK2_P,,,1B,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK
H2,GPIOL_P_10_CLK3_P,,,1B,1.8 V,,,User IO/GCLK/RCLK/Configuration
H3,GPIOL_N_08_CLK1_N,,,1A,1.8 V,,,User IO/GCLK/RCLK/Configuration
H4,GPIOL_N_04_CDI3,,,1A,1.8 V,,,User IO
H5,GPIOL_P_04_CDI2,,,1A,1.8 V,,,User IO/VREF
H6,VCC,,Power,,,,,0.95 V VCC Power
H7,GND,,Power,,,,,Ground
H8,VCC,,Power,,,,,0.95 V VCC Power
H9,GND,,Power,,,,,Ground
H10,GPIOR_P_08_CLK11_P,,,3B,1.8 V,,,User IO/GCLK/RCLK
H11,GPIOR_N_08_CLK11_N,,,3B,1.8 V,,,User IO/GCLK/RCLK
H12,GPIOR_N_10_CLK9_N,,,3A,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK
H13,GPIOR_P_10_CLK9_P,,,3A,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK
H14,GPIOR_P_11_CLK8_P,,,3A,1.8 V,,,User IO/GCLK/RCLK
H15,GPIOR_N_09_CLK10_N,,,3B,1.8 V,,,User IO/GCLK/RCLK
J1,GPIOL_N_07_CLK0_N,,,1A,1.8 V,,,User IO/GCLK/RCLK
J2,GPIOL_P_08_CLK1_P,,,1A,1.8 V,,,User IO/GCLK/RCLK
J3,GPIOL_N_05,,,1A,1.8 V,,,User IO
J4,VCCIO1A,,Power,1A,1.8 V,,,VCCIO Power
J5,CRESET_N,,Input,1A,1.8 V,,,Configuration
J6,GND,,Power,,,,,Ground
J7,VCC,,Power,,,,,0.95 V VCC Power
J8,GND,,Power,,,,,Ground
J9,VCC,,Power,,,,,0.95 V VCC Power
J10,GPIOR_N_03_CDI27,,,3B,1.8 V,,,User IO
J11,VCCIO3B,,Power,3B,1.8 V,,,VCCIO Power
J12,GPIOR_N_04_CDI29,,,3B,1.8 V,,,User IO
J13,GPIOR_N_06_CDI21,,,3B,1.8 V,,,User IO
J14,GPIOR_N_07,,,3B,1.8 V,,,User IO
J15,GPIOR_P_09_CLK10_P,,,3B,1.8 V,,,User IO/GCLK/RCLK
K1,GPIOL_P_07_CLK0_P,,,1A,1.8 V,,,User IO/GCLK/RCLK
K2,GPIOL_N_06,,,1A,1.8 V,,,User IO
K3,GPIOL_P_06,,,1A,1.8 V,,,User IO
K4,GPIOL_P_05,,,1A,1.8 V,,,User IO
K5,REF_RES_1A,,Input,1A,1.8 V,,,
K6,GPIOB_N_04,,,4B,1.8 V,,,User IO
K7,GPIOB_P_09_CLK13_P,,,4A,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK/VREF/Configuration
K8,GPIOB_P_11_CDI10,,,4A,1.8 V,,,User IO
K9,GPIOB_N_11_CDI11,,,4A,1.8 V,,,User IO
K10,GPIOR_P_03_CDI26,,,3B,1.8 V,,,User IO
K11,GPIOR_N_00_CDI22,,,3B,1.8 V,,,User IO/PLL_CLKIN
K12,GPIOR_P_04_CDI28,,,3B,1.8 V,,,User IO
K13,GPIOR_P_06_CDI20,,,3B,1.8 V,,,User IO
K14,GPIOR_P_07,,,3B,1.8 V,,,User IO
K15,GPIOR_N_05_CDI31,,,3B,1.8 V,,,User IO
L1,GPIOL_N_03_CDI1,,,1A,1.8 V,,,User IO/Configuration
L2,VCCIO1A,,Power,1A,1.8 V,,,VCCIO Power
L3,CDONE,,Bidirectional,1A,1.8 V,,,Configuration
L4,VCCAUX,,Power,4B,1.8 V,,,
L5,VCCA_BL,,Power,,,,,0.95 V PLL Power
L6,GPIOB_P_04_SSU_N,,,4B,1.8 V,,,User IO/VREF/Configuration
L7,GPIOB_N_06_CDI9,,,4B,1.8 V,,,User IO
L8,GPIOB_N_09_CLK13_N,,,4A,1.8 V,,,User IO/GCLK/MIPI_GCLK/RCLK/MIPI_RCLK
L9,GPIOB_N_10_CLK12_N,,,4A,1.8 V,,,User IO/GCLK/RCLK
L10,VCCA_BR,,Power,,,,,0.95 V PLL Power
L11,GPIOR_P_00_PLLIN0,,,3B,1.8 V,,,User IO/PLL_CLKIN
L12,GPIOR_P_01_EXTFB,,,3B,1.8 V,,,User IO/PLL_EXTFB
L13,GPIOR_N_01_CDI23,,,3B,1.8 V,,,User IO/PLL_EXTFB
L14,VCCIO3B,,Power,3B,1.8 V,,,VCCIO Power
L15,GPIOR_P_05_CDI30,,,3B,1.8 V,,,User IO/VREF
M1,GPIOL_P_03_CDI0,,,1A,1.8 V,,,User IO/Configuration
M2,GPIOL_N_02_CSO,,,1A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/Configuration
M3,VCC,,Power,,,,,0.95 V VCC Power
M4,TDO,,Output,BL,3.3 V,,,Configuration
M5,REF_RES_4B,,Input,4B,1.8 V,,,
M6,GPIOB_N_03_CDI7,,,4B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
M7,GPIOB_P_06_CDI8,,,4B,1.8 V,,,User IO
M8,GPIOB_N_08_CLK14_N,,,4B,1.8 V,,,User IO/GCLK/RCLK
M9,GPIOB_P_10_CLK12_P,,,4A,1.8 V,,,User IO/GCLK/RCLK
M10,GPIOB_N_13_CDI15,,,4A,1.8 V,,,User IO
M11,VCCAUX,,Power,4B,1.8 V,,,
M12,REF_RES_3B,,Input,3B,1.8 V,,,
M13,GND,,Power,,,,,Ground
M14,GPIOR_P_02_CDI24,,,3B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
M15,GPIOR_N_02_CDI25,,,3B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
N1,GPIOL_N_01_CCK,,,1A,1.8 V,,,User IO/Configuration
N2,GPIOL_P_02_CSI,,,1A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK/Configuration
N3,TMS,,Input,BL,3.3 V,,,Configuration
N4,TCK,,Input,BL,3.3 V,,,Configuration
N5,VCCIO4B,,Power,4B,1.8 V,,,VCCIO Power
N6,GPIOB_P_03_CDI6,,,4B,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
N7,VCCIO4B,,Power,4B,1.8 V,,,VCCIO Power
N8,GPIOB_P_08_CLK14_P,,,4B,1.8 V,,,User IO/GCLK/RCLK
N9,VCCIO4A,,Power,4A,1.8 V,,,VCCIO Power
N10,GPIOB_P_13_CDI14,,,4A,1.8 V,,,User IO
N11,VCCIO4A,,Power,4A,1.8 V,,,VCCIO Power
N12,REF_RES_4A,,Input,4A,1.8 V,,,
N13,GPIOR_24,,Input,BR,3.3 V,,weak pullup,User IO
N14,GPIOR_21,,Input,BR,3.3 V,,weak pullup,User IO
N15,VCCIO33_BR,,Power,BR,3.3 V,,,VCCIO Power
P1,GPIOL_P_01_SSL_N,,,1A,1.8 V,,,User IO/Configuration
P2,GPIOL_P_00_PLLIN0,,,1A,1.8 V,,,User IO/PLL_CLKIN
P3,TDI,,Input,BL,3.3 V,,,Configuration
P4,VCCIO33_BL,,Power,BL,3.3 V,,,VCCIO Power
P5,GPIOB_N_00,,,4B,1.8 V,,,User IO/PLL_CLKIN
P6,GPIOB_N_01,,,4B,1.8 V,,,User IO/PLL_EXTFB
P7,GPIOB_N_02_CDI5,,,4B,1.8 V,,,User IO
P8,GPIOB_N_07_CLK15_N,,,4B,1.8 V,,,User IO/GCLK/RCLK
P9,GPIOB_N_12_CDI13,,,4A,1.8 V,,,User IO
P10,GPIOB_N_14_CDI17,,,4A,1.8 V,,,User IO/MIPI_GCLK
P11,GPIOB_P_17_PLLIN1,,,4A,1.8 V,,,User IO/PLL_CLKIN
