
# Efinity Pinout Report
# Version: 2025.1.110.5.9
# Date: 2026-09-22 10:24

# Copyright (C) 2013 - 2025 Efinix Inc. All rights reserved.

# Device: Ti60F225
# Package status: final
# Project: Ti60_Demo
# Configuration mode: active (x4)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,GPIOL_N_18,lcd_tp_rst_o.N,Output,1B,1.8 V,1.8 V LVCMOS,,User IO/PLL_CLKIN
A3,GPIOL_03,cmos_vsync,Input,TL,3.3 V,3.3 V LVCMOS,,User IO
A4,GPIOL_09,cmos_sclk,Output,TL,3.3 V,3.3 V LVCMOS,,User IO
A5,GPIOT_P_03,hdmi_txd2.P,Output,2A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
A6,GPIOT_N_03,hdmi_txd2.N,Output,2A,1.8 V,,,User IO/MIPI_GCLK/MIPI_RCLK
A7,GPIOT_N_06,dsi_pwm_o.N,Output,2A,1.8 V,1.8 V LVCMOS,,User IO
A8,GPIOT_N_07_CLK4_N,,,2A,1.8 V,,,User IO/GCLK/RCLK
A9,GPIOT_N_11,,,2B,1.8 V,,,User IO
A10,GPIOT_P_14,lvds_txd3.P,Output,2B,1.8 V,,,User IO/MIPI_GCLK
A11,GPIOT_P_17_PLLIN1,hdmi_txd0.P,Output,2B,1.8 V,,,User IO/PLL_CLKIN
A12,GPIOR_13,cmos_sdat,Bidirectional,TR,3.3 V,3.3 V LVCMOS,,User IO
A13,GPIOR_12,cmos_data[7],Input,TR,3.3 V,3.3 V LVCMOS,,User IO
A14,GPIOR_19,cmos_data[3],Input,TR,3.3 V,3.3 V LVCMOS,,User IO
A15,GND,,Power,,,,,Ground
B1,GPIOL_P_17_EXTFB,lcd_tp_scl_io.P,Bidirectional,1B,1.8 V,1.8 V LVCMOS,,User IO/PLL_EXTFB
B2,GPIOL_P_18_PLLIN0,lcd_tp_int_io.P,Bidirectional,1B,1.8 V,1.8 V LVCMOS,,User IO/PLL_CLKIN
