sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 16, 2026 09:48:25

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	   2764(20)	     534(0)	     734(0)	    3484(8)	     0(0)	    43(0)	     0(0)	
 +ddr3_ctl_axi:DdrCtrl                                      	    2167(0)	     492(0)	     451(0)	    2474(0)	     0(0)	    27(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_67b4838ef8d24a1cbca605088ccb273e	    2167(0)	     492(0)	     451(0)	    2474(0)	     0(0)	    27(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_67b4838ef8d24a1cbca605088ccb273e	  2167(321)	     492(0)	   451(128)	  2474(251)	     0(0)	    27(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     21(21)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     88(88)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     98(98)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     14(14)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_efx_ddr3:top_67b4838ef8d24a1cbca605088ccb273e     	  1783(187)	     148(0)	    215(64)	  1877(403)	     0(0)	    27(0)	     0(0)	
     +mux0:native_mux_67b4838ef8d24a1cbca605088ccb273e      	       0(0)	       0(0)	       0(0)	   186(186)	     0(0)	     0(0)	     0(0)	
     +top_mc:controller_top_67b4838ef8d24a1cbca605088ccb273e	   1575(27)	     146(0)	     151(0)	   1275(26)	     0(0)	    27(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_67b4838ef8d24a1cbca605088ccb273e(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_67b4838ef8d24a1cbca605088ccb273e(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_67b4838ef8d24a1cbca605088ccb273e(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_67b4838ef8d24a1cbca605088ccb273e(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_67b4838ef8d24a1cbca605088ccb273e(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_67b4838ef8d24a1cbca605088ccb273e(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_67b4838ef8d24a1cbca605088ccb273e(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     88(84)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     82(79)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     52(48)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     44(37)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:streamfifocc64_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=128)	     54(26)	       0(0)	     16(16)	     91(88)	     0(0)	     7(7)	     0(0)	
       +popToPushGray_buffercc:buffercc_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_67b4838ef8d24a1cbca605088ccb273e	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_67b4838ef8d24a1cbca605088ccb273e(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     43(36)	     0(0)	     1(1)	     0(0)	
