sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 17, 2026 18:49:59

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	   2806(41)	    3136(0)	    876(19)	   3776(43)	     0(0)	    46(0)	     0(0)	
 +ddr3_ctl_axi:DdrCtrl                                      	    2110(0)	     490(0)	     501(0)	    2694(0)	     0(0)	    30(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_f9db9b463f784e0ead4594b0b8e61d81	    2110(0)	     490(0)	     501(0)	    2694(0)	     0(0)	    30(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_f9db9b463f784e0ead4594b0b8e61d81	  2110(193)	     490(0)	   501(128)	  2694(264)	     0(0)	    30(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     21(21)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     88(88)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     98(98)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     14(14)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_efx_ddr3:top_f9db9b463f784e0ead4594b0b8e61d81     	  1854(211)	     146(0)	    265(64)	  2084(492)	     0(0)	    30(0)	     0(0)	
     +mux0:native_mux_f9db9b463f784e0ead4594b0b8e61d81      	       0(0)	       0(0)	       0(0)	   186(186)	     0(0)	     0(0)	     0(0)	
     +top_mc:controller_top_f9db9b463f784e0ead4594b0b8e61d81	   1622(29)	     144(0)	     201(0)	   1392(30)	     0(0)	    30(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_f9db9b463f784e0ead4594b0b8e61d81(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_f9db9b463f784e0ead4594b0b8e61d81(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f9db9b463f784e0ead4594b0b8e61d81(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     71(68)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     78(75)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     51(48)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_f9db9b463f784e0ead4594b0b8e61d81(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     44(38)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f9db9b463f784e0ead4594b0b8e61d81	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",BYPASS_RESET_SYNC=1,MODE="FWFT",DEPTH=64,DATA_WIDTH=128,OUTPUT_REG=1,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      71(0)	       0(0)	      27(0)	      78(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_f9db9b463f784e0ead4594b0b8e61d81(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     41(41)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_f9db9b463f784e0ead4594b0b8e61d81(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     71(43)	       0(0)	     27(27)	     37(13)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_f9db9b463f784e0ead4594b0b8e61d81(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
